Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting.Quantity..SQ.;Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
A01;SYBR;;Std-1;;;38.80838977;38.3128897;0.503225587;19.7;1.294466226;19.7;0;60;
A02;SYBR;;Std-1;;;37.80227896;38.3128897;0.503225587;19.7;1.294466226;19.7;0;60;
A03;SYBR;;Std-1;;;38.32800038;38.3128897;0.503225587;19.7;1.294466226;19.7;0;60;
A04;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A05;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A06;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A07;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A08;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A09;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A10;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A11;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
A12;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;60;
B01;SYBR;;Std-2;;;37.46986225;38.04766407;1.377679252;197;2.294466226;197;0;60;
B02;SYBR;;Std-2;;;39.62015717;38.04766407;1.377679252;197;2.294466226;197;0;60;
B03;SYBR;;Std-2;;;37.05297279;38.04766407;1.377679252;197;2.294466226;197;0;60;
B04;SYBR;;Unkn;;;35.62620889;35.62620889;0;466.3632883;2.668724356;466.3632883;0;60;
B05;SYBR;;Unkn;;;35.35871513;35.35871513;0;550.4306291;2.740702592;550.4306291;0;60;
B06;SYBR;;Unkn;;;35.84813241;35.84813241;0;406.4511281;2.609008333;406.4511281;0;60;
B07;SYBR;;Unkn;;;23.31902346;23.31902346;0;955847.3469;5.980388539;955847.3469;0;60;
B08;SYBR;;Unkn;;;23.35961427;23.35961427;0;932107.9454;5.96946621;932107.9454;0;60;
B09;SYBR;;Unkn;;;23.31285415;23.31285415;0;959507.9996;5.9820486;959507.9996;0;60;
B10;SYBR;;Unkn;;;26.79028023;26.79028023;0;111257.5749;5.046329589;111257.5749;0;60;
B11;SYBR;;Unkn;;;27.06210646;27.06210646;0;94012.48976;4.973185554;94012.48976;0;60;
B12;SYBR;;Unkn;;;27.19482177;27.19482177;0;86591.25107;4.937474014;86591.25107;0;60;
C01;SYBR;;Std-3;;;35.51663881;35.14107367;0.359301115;1970;3.294466226;1970;0;60;
C02;SYBR;;Std-3;;;35.10596856;35.14107367;0.359301115;1970;3.294466226;1970;0;60;
C03;SYBR;;Std-3;;;34.80061363;35.14107367;0.359301115;1970;3.294466226;1970;0;60;
C04;SYBR;;Unkn;;;26.73501637;26.73501637;0;115133.0998;5.061200198;115133.0998;0;60;
C05;SYBR;;Unkn;;;26.79491814;26.79491814;0;110938.3245;5.045081602;110938.3245;0;60;
